"","kc.artist_name","kc.artist_id","kc.album_type","kc.album_release_date","kc.album_release_year","kc.album_release_date_precision","kc.danceability","kc.energy","kc.energy.1","kc.key","kc.loudness","kc.mode","kc.speechiness","kc.acousticness","kc.instrumentalness","kc.liveness","kc.liveness.1","kc.valence","kc.tempo","kc.track_id","kc.duration_ms","kc.explicit","kc.is_local","kc.track_name","kc.track_number","kc.type","kc.album_name","kc.key_name","kc.mode_name","kc.key_mode"
"59","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.608,0.785,0.785,1,-6.35,1,0.0415,0.0302,0,0.0923,0.0923,0.626,165.039,"5ylIC834AiCHF4OXbvO8wp",201706,FALSE,FALSE,"Good Goes The Bye",13,"track","Piece By Piece","C#","major","C# major"
"60","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.46,0.853,0.853,7,-4.839,0,0.0707,0.00853,0,0.238,0.238,0.907,188.106,"6fSDjAZTPYQNlhBg5xRxvw",198226,FALSE,FALSE,"Bad Reputation",14,"track","Piece By Piece","G","minor","G minor"
"61","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.518,0.85,0.85,0,-4.959,1,0.048,0.112,1.36e-06,0.227,0.227,0.387,89.988,"44JYbXRTZoSNicj50bfvFI",281413,FALSE,FALSE,"In The Blue",15,"track","Piece By Piece","C","major","C major"
"62","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.488,0.778,0.778,7,-4.223,1,0.102,0.159,0,0.226,0.226,0.52,79.807,"5iB3aAYWCHkWQJBAlovDMe",195173,FALSE,FALSE,"Second Wind",16,"track","Piece By Piece","G","major","G major"
"63","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.5,0.892,0.892,6,-3.204,1,0.176,0.0123,0,0.151,0.151,0.61,160.064,"0icYgAx3jvMWt5aNWZO7Uc",227293,FALSE,FALSE,"Heartbeat Song - Dave Audé Radio Mix",17,"track","Piece By Piece","F#","major","F# major"
"64","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-02-27",2015,"day",0.49,0.798,0.798,6,-3.66,1,0.0489,0.0137,0,0.0627,0.0627,0.479,149.109,"7FC9Lng8iXU081lbigu8m8",198733,FALSE,FALSE,"Heartbeat Song",1,"track","Piece By Piece (Deluxe Version)","F#","major","F# major"
"65","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-02-27",2015,"day",0.477,0.788,0.788,10,-5.472,1,0.082,0.409,0,0.194,0.194,0.377,138.217,"0yUlMnLpU2W6JQtvg1k4Od",238360,FALSE,FALSE,"Invincible",2,"track","Piece By Piece (Deluxe Version)","A#","major","A# major"
"66","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-02-27",2015,"day",0.578,0.651,0.651,8,-6.924,1,0.0424,0.365,0,0.103,0.103,0.0931,127.966,"3PKw5zJjXpMbZ344t9LSe2",219880,FALSE,FALSE,"Someone",3,"track","Piece By Piece (Deluxe Version)","G#","major","G# major"
"67","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-02-27",2015,"day",0.463,0.592,0.592,2,-6.5,1,0.0343,0.343,0,0.124,0.124,0.277,130.089,"7tgtiGMm6LBtR5i8G345Xf",260200,FALSE,FALSE,"Take You High",4,"track","Piece By Piece (Deluxe Version)","D","major","D major"
"68","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-02-27",2015,"day",0.59,0.808,0.808,1,-6.728,1,0.0408,0.000953,1.53e-06,0.0918,0.0918,0.601,106.029,"2NELtMgQ8HSdrGrYQPLnC3",257746,FALSE,FALSE,"Piece by Piece",5,"track","Piece By Piece (Deluxe Version)","C#","major","C# major"
